文章标题,抽象的
具有关系驱动自集成模型的半监督医学图像分类,训练深度神经网络通常需要大量的标记数据才能获得良好的性能。然而，在医学图像分析中，为数据获取高质量标签既费力又昂贵，因为准确注释医学图像需要临床医生的专业知识。在本文中，我们提出了一种新的关系驱动的医学图像分类半监督框架。它是一种基于一致性的方法，通过鼓励在扰动下给定输入的预测一致性来利用未标记数据，并利用自集成模型为未标记数据生成高质量的一致性目标。考虑到人类诊断通常参考以前的类似案例来做出可靠的决策，我们引入了一种新的样本关系一致性（SRC）范式，通过对不同样本之间的关系信息进行建模来有效地利用未标记的数据。优于现有的基于一致性的方法，这些方法简单地强制单个预测的一致性，我们的框架明确地强制不同样本之间在扰动下语义关系的一致性，鼓励模型从未标记的数据中探索额外的语义信息。我们进行了广泛的实验来评估我们在两个公共基准医学图像分类数据集上的方法，即使用 ISIC 2018 挑战的皮肤病变诊断和使用 ChestX-ray14 的胸部疾病分类。我们的方法在单标签和多标签图像分类场景中都优于许多最先进的半监督学习方法。
UAVId：无人机图像的语义分割数据集,语义分割最近一直是计算机视觉领域的主要研究兴趣之一。它是许多领域的感知基础，例如机器人技术和自动驾驶。语义分割的快速发展很大程度上归功于大规模数据集，尤其是与深度学习相关的方法。已经存在多个语义分割数据集，用于比较复杂城市场景中的语义分割方法，例如 Cityscapes 和 CamVid 数据集，其中对象的侧视图是通过安装在驾驶汽车上的摄像头捕获的。还存在用于机载图像和卫星图像的语义标记数据集，其中捕获了对象的最低点视图。然而，只有少数数据集从倾斜的无人机（UAV）视角捕捉城市场景，其中可以观察到物体的俯视图和侧视图，为物体识别提供了更多信息。在本文中，我们介绍了我们的 UAVId 数据集，这是一种新的高分辨率无人机语义分割数据集作为补充，它带来了新的挑战，包括大规模变化、移动对象识别和时间一致性保持。我们的无人机数据集由 30 个视频序列组成，这些视频序列在斜视图中捕获高分辨率图像。总共有 300 张图像被密集标记为 8 个类别，用于语义标记任务。我们提供了几种带有预训练的深度学习基线方法，其中提出的 Multi-Scale-Dilation 网络通过多尺度特征提取表现最好，平均交叉联合 (IoU) 得分达到 50% 左右。我们还利用特征空间优化 (FSO) 和 3D 条件随机场 (CRF) 探索了时空正则化对序列数据的影响。我们的 UAVId 网站和标签工具已在线发布 (https://uavid.nl/)。
一种基于对象卷积神经网络的多级上下文引导分类方法，用于使用超高分辨率遥感图像进行土地覆盖分类,由于难以从丰富的图像细节中挖掘复杂的空间和光谱模式，超高分辨率图像 (VHRI) 的分类具有挑战性。已经提出了各种用于 VHRI 分类的基于对象的卷积神经网络 (OCNN)，以克服冗余像素级 CNN 的缺点，因为它们的计算成本低且轮廓保持良好。然而，OCNN 的分类性能仍然受到几何失真、特征表示不足和缺乏上下文指导的限制。在本文中，提出了一种创新的基于 OCNN 的多级上下文引导分类方法（MLCG-OCNN）。通过同时从独立的光谱模式、几何特征和对象级上下文信息中学习高级特征，开发了一种特征融合 OCNN，包括对象轮廓保留掩码策略和对象变形系数的补充，以实现准确的对象识别。然后使用像素级上下文引导来进一步改进每个对象的分类结果。 MLCG-OCNN 方法有意在两个经过验证的具有有限训练样本的小型图像数据集上进行测试，以评估土地覆盖分类应用中的性能，其中需要在样本训练的时间消耗和整体准确性之间进行权衡，如这在实践中很常见。与传统的基准方法相比，包括基于补丁的每像素 CNN（PBPP）、基于补丁的每对象 CNN（PBPO）、具有对象分割细化的像素级 CNN（PO）、语义分割 U-Net（U -NET）和 DeepLabV3+（DLV3+），MLCG-OCNN 方法实现了显着的分类性能（> 80 %）。与最先进的架构 DeepLabV3+ 相比，MLCG-OCNN 方法展示了 VHRI 分类的高计算效率（快 4-5 倍）。
显微镜图像上基于深度学习的细胞分割的测试时间增强,深度学习的最新进展彻底改变了细胞显微镜图像的处理方式。深度学习网络架构具有大量参数，因此，为了达到高精度，它们需要大量的注释数据。提高准确性的一种常见方法是通过使用不同的增强技术来人为地增加训练集。一种不太常见的方法依赖于测试时间增强 (TTA)，它产生用于预测的图像的转换版本，并将结果合并。在本文中，我们描述了我们如何将测试时间论证预测方法纳入显微镜图像单细胞分析中使用的两种主要分割方法中。这些方法是基于 U-Net 的语义分割和基于 Mask R-CNN 模型的实例分割。我们的研究结果表明，即使仅应用简单的测试时间增强（例如旋转或翻转和适当的合并方法），TTA 也可以显着提高预测准确性。我们利用了来自 Data Science Bowl (DSB) 2018 细胞核分割竞赛和其他来源的组织和细胞培养图像。此外，通过 TTA 提升 DSB 的最高得分方法，我们可以进一步提高预测准确性，我们的方法在 DSB 中达到了有史以来的最佳分数。
PhaseNet 2.0：基于深度学习方法的噪声数据的相位展开,相位展开是一个不适定的经典问题，在许多具有重要意义的实际应用中，例如通过条纹投影进行 3D 轮廓分析、合成孔径雷达和磁共振成像。传统的相位展开技术通过通过受限路径积分（称为路径跟踪方法）或通过最小化包裹相位与近似真实相位之间的能量函数（称为最小范数方法）来估计相位。然而，这些传统方法具有一些关键挑战，如误差累积和高计算时间，并且在低 SNR 条件下经常失败。为了解决这些问题，本文提出了一种新颖的深度学习框架来展开相位，称为 PhaseNet 2.0。相位展开问题被表述为密集分类问题，并训练基于全卷积 DenseNet 的神经网络从包裹相位图中预测每个像素的包裹计数。为了训练这个网络，我们模拟了任意形状并提出了新的损失函数，它通过最小化梯度的差异来整合残差，并使用损失来克服类不平衡问题。与我们之前的方法 PhaseNet 不同，所提出的方法不需要后处理，对噪声具有高度鲁棒性，即使在 -5 dB 的严重噪声水平下也能准确地展开相位，即使在相对较高的动态范围内也可以展开相位图。针对不同 SNR 值和不连续性，将所提出框架的仿真结果与不同类别的现有相位展开方法进行比较，这些评估证明了所提出框架的优势。我们还展示了所提出的方法在具有不同结构和更精细几何变化的合成 CAD 模型的 3D 重建上的普遍性。最后，将所提出的方法应用于使用条纹投影技术和数字全息干涉测量法对物体进行 3D 轮廓分析的真实数据。所提出的框架在现有方法的基础上实现了显着改进，同时在现代 GPU 上以交互式帧速率实现了高效。
基于条带池法的改进编解码网络应用于农田空地分割,在遥感图像分割领域的绿色植被覆盖度研究中，往往通过对高空拍摄的图像进行语义分割得到作物种植面积。这种方法可以得到一个地区（如一个国家）的耕地率，但不能反映特定农田的真实情况。因此，本文以农田的低空图像构建数据集。在比较了几种主流的语义分割算法后，提出了一种更适合农田空置分割的新方法。此外，设计了以条带池为核心的条带池模块（SPM）和混合池模块（MPM），并融合到语义分割网络结构中，以更好地提取空缺特征。考虑到人工数据标注的高成本，本文使用改进的 ResNet 网络作为信号传输的主干，同时使用数据增强来提高模型的性能和鲁棒性。结果，该方法在测试集中的准确率为 95.6%，mIoU 为 77.6%，错误率为 7%。与现有模型相比，mIoU值提高了近4%，达到了实际应用的水平。
高度不平衡分割的边界损失,CNN 分割中广泛使用的损失函数，例如 Dice 或交叉熵，是基于分割区域上的积分。不幸的是，对于高度不平衡的分割，此类区域总和的值在不同类别之间相差几个数量级，这会影响训练性能和稳定性。我们提出了一种边界损失，它采用轮廓空间上的距离度量的形式，而不是区域。这可以减轻高度不平衡问题的困难，因为它使用区域之间界面上的积分而不是区域上的不平衡积分。此外，边界损失补充了区域信息。受用于计算活动轮廓流的基于图的优化技术的启发，我们将轮廓空间上的非对称 L-2 距离表示为区域积分，这避免了涉及轮廓点的完全局部微分计算。这产生了用网络的区域 softmax 概率输出表示的边界损失，它可以很容易地与标准区域损失相结合，并与任何现有的用于 ND 分割的深度网络架构一起实现。我们报告了对不同不平衡问题的综合评估和比较，表明我们的边界损失可以在提高训练稳定性的同时显着提高性能。我们的代码是公开的 (1)。 (C) 2020 Elsevier BV 保留所有权利。
用于土地覆盖分类的密集扩张卷积合并网络,由于注释数据量有限、类别高度不平衡、像素级注释错误频繁以及语义分割任务固有的复杂性，遥感图像的土地覆盖分类是一项具有挑战性的任务。在本文中，我们提出了一种称为密集扩张卷积合并网络 (DDCM-Net) 的新颖架构来解决此任务。所提出的 DDCM-Net 由密集的扩张图像卷积和不同的扩张率组成。与遥感领域中最先进的方法相比，这有效地利用了扩张卷积的丰富组合，以更少的参数和特征扩大了网络的感受野。重要的是，DDCM-Net 获得了融合的局部和全局上下文信息，实际上结合了对高分辨率航空图像中具有相似颜色和纹理的多尺度和复杂形状对象的周围判别能力。我们在公开可用的 ISPRS Potsdam 和 Vaihingen 数据集以及 DeepGlobe 土地覆盖数据集上展示了提议的 DDCM-Net 的有效性、稳健性和灵活性。我们的单一模型在三波段 Potsdam 和 Vaihingen 数据集上进行训练，与其他已发布的使用超过三波段数据训练的模型相比，在平均交并比 (mIoU) 和 F1 分数方面实现了更好的准确性。我们在 DeepGlobe 数据集上进一步验证了我们的模型，与最近的相关工作相比，以更少的参数和更低的计算成本实现了最先进的结果 56.2% mIoU。
使用深度学习对建筑物内部点云进行语义分割：使用基于 BIM 的合成点云增强训练数据集,本文研究了使用从建筑信息模型 (BIM) 生成的合成点云来训练深度神经网络以对建筑内部点云进行语义分割的可行性。为了实现这些目标，本文首先介绍了一种使用三个商用软件系统将数字 3D BIM 转换为合成点云的程序。然后使用生成的合成点云来训练深度神经网络。比较了几个经过训练的模型的语义分割性能：真实点云、合成点云以及真实点云和合成点云的组合。一个关键发现是，与仅在真实数据上训练分类器相比，当一个小的真实点云数据集通过合成点云进行训练增强时，性能提高了 7.1%。实验结果证实了使用从构建信息模型生成的合成点云与真实点云的小型数据集相结合的可行性。这开启了开发建筑内部分割模型的可能性，该模型可应用于包含看不见的室内结构的建筑物的竣工建模。
使用 3D U-Net 集合进行脑肿瘤分割和使用放射特征进行总体生存预测,多模态MRI扫描准确分割胶质瘤不同亚区，如瘤周水肿、坏死核心、增强和非增强肿瘤核心，对脑肿瘤的诊断、预后和治疗具有重要的临床意义。然而，由于这些肿瘤的外观和形状高度异质，子区域的分割具有挑战性。使用深度学习模型的最新发展已证明其在各种语义和医学图像分割任务中的有效性，其中许多基于具有对称编码和解码路径的 U-Net 网络结构，用于端到端分割，由于其高效和很棒的表演。在脑肿瘤分割中，多模态 MRI 的 3D 特性在直接采用 U-Net 结构时会带来内存和计算限制以及类别不平衡等挑战。在这项研究中，我们的目标是使用 3D U-Net 开发一个深度学习模型，并在训练和测试策略、网络结构和脑肿瘤分割模型参数方面进行调整。此外，不是选择一个最佳模型，而是使用使用不同超参数训练的多个模型的集合来减少每个模型的随机误差并提高性能。初步结果证明了该方法的有效性，并在竞争激烈的 2018 年多模态脑肿瘤分割 (BraTS) 挑战赛中获得第 9 名。此外，为了强调所开发的分割方法的临床价值，开发了一个基于从分割中提取的放射组学特征和其他临床特征的线性模型来预测患者的总体生存率。对这些创新的评估表明，低级别胶质瘤和胶质母细胞瘤患者的预测准确性很高，在 2018 年 BraTS 挑战赛中获得第一名。
预测肿瘤对直肠癌放化疗的反应：使用 MRI 放射组学的模型开发和外部验证,背景：对于局部晚期直肠癌 (LARC) 放化疗反应良好的患者，可以考虑采取观察等待策略。为了实施保留器官的策略，需要准确的患者选择。我们研究了使用基于 MRI 的放射组学模型来预测肿瘤反应以改善患者选择。材料和方法：模型是在 70 名患者的队列中开发的，并在 55 名患者的外部队列中进行验证。患者接受了化放疗，随后接受了手术，并在化放疗前后接受了 T2 加权和弥散加权 MRI（DW-MRI）。结果测量是（接近）完全病理肿瘤反应（ypT0-1N0）。肿瘤分割在 T2 图像上进行，并转移到 b800 图像和 ADC 图，然后提取定量和四个语义特征。我们使用主成分分析组合特征并使用 LASSO 回归分析建立模型。选择基于精度和性能的最佳模型进行验证。结果：21/70 名患者 (30%) 在开发队列中达到 ypT0-1N0，而在验证队列中为 13/55 名患者 (24%)。三个模型（t2_dwi_pre_post、semantic_dwi_adc_pre、semantic_dwi_post）的曲线下面积（AUC）分别为 0.83（95% CI 0.70-0.95）、0.86（95% CI 0.75-0.98）和 0.84（95% CI 0.75） -0.94) 分别。两个模型（t2_dwi_pre_post、semantic_dwi_post）在外部队列中验证良好，AUC 分别为 0.83（95% CI 0.70-0.95）和 0.86（95% CI 0.76-0.97）。然而，这些模型并没有优于先前建立的四特征语义模型。结论：基于 MRI 放射组学的预测模型非侵入性地预测直肠癌放化疗后的肿瘤反应，并可用作识别符合器官条件的患者的附加工具。保留治疗。 (C) 2019 Elsevier BV 保留所有权利。
MAP-Net：用于从遥感图像中构建足迹提取的多参与路径神经网络,建筑足迹提取是地图绘制、图像理解、计算机视觉等领域的一项基本任务。由于建筑物的复杂结构、多种尺度和多样的外观，从广泛的遥感图像中准确有效地提取建筑物足迹仍然是一项挑战。现有的基于卷积神经网络 (CNN) 的建筑物提取方法因无法检测微小建筑物而受到批评，因为 CNN 特征图的空间信息在 CNN 的重复池化操作中丢失。此外，大型建筑物仍然存在不准确的分割边缘。此外，CNN提取的特征总是部分受限于感受野的大小，低纹理的大型建筑物在提取时总是不连续和有孔的。为了缓解这些问题，在最新的研究工作中引入了多尺度策略来提取不同尺度的建筑物。分辨率较高的特征通常是从浅层中提取的，这对于微小的建筑物而言提取的语义信息不足。本文提出了一种新颖的多参与路径神经网络（MAP-Net），用于准确提取多尺度建筑物足迹和精确边界。与现有的多尺度特征提取策略不同，MAP-Net 通过逐步生成每个阶段的多并行路径来学习保留空间定位的多尺度特征，以提取具有固定分辨率的高级语义特征。然后，注意力模块自适应地压缩从每条路径中提取的通道特征，以优化多尺度融合，金字塔空间池化模块捕获全局依赖性，以优化不连续的建筑足迹。实验结果表明，与 Urban 3 上最新的 HRNetv2 相比，我们的方法在不增加计算复杂度的情况下，实现了 0.88%、0.93% 和 0.45% 的 F1 分数以及 1.53%、1.50% 和 0.82% 的交叉并集 (IoU) 分数改进-D、Deep Globe 和 WHU 数据集。具体来说，MAP-Net 在没有预训练和后处理的 WHU 数据集上优于多尺度聚合全卷积网络 (MA-FCN)，后者是具有后处理和模型投票策略的最先进 (SOTA) 算法。 TensorFlow 实现可在 https://github.com/lehaifeng/MAPNet 获得。
基于深度学习的分割，用于在格子线上自动训练苹果树,由于果实产量和质量高，以及在修剪和收获过程中适用于机器人操作，棚架式结果墙训练系统正在成为现代苹果园的标准。在美国 PNW 地区，将年轻的苹果树训练到经过格子训练的树冠系统的常见做法是手动选择树枝，然后将其绑在 6 或 7 层的水平格子线上。由于熟练的人力资源减少和劳动力成本迅速增加，苹果树对这些现代果园架构的人工培训变得越来越具有挑战性，使用传感和机器人技术的自动化培训可能是一种替代解决方案。分割树干、树枝和网格线是自动化树木训练操作的关键步骤。在这项研究中，开发了一种基于深度学习的语义分割方法来自动执行此分割任务。使用 Kinect V2 传感器获取目标树的 RGB 和点云数据。然后使用简单和前景 RGB 图像来训练基于卷积神经网络 (CNN) 的分割网络 (SegNet) 来分割主干、分支和网格线。具有一些共同特征的树干和分支被相互分割，简单 RGB 图像的精度分别为 0.82 和 0.89，前景 RGB 图像的精度分别为 0.91 和 0.92。类似地，对于简单和前景 RGB 图像，分别以 0.92 和 0.97 的精度分割从树干和树枝具有不同特征的格状线。获得的结果表明，所开发的语义分割技术在 Foreground-RGB 图像上的性能优于 Simple-RGB 图像。识别前景-RGB 图像中分割区域边界的准确度（由边界-F1 分数表示）对于主干线、分支线和格状线分别为 0.93、0.89 和 0.91。这些结果显示了采用基于深度学习的语义分割在果园环境中自动化苹果树训练的巨大潜力。
“挤压和激发”引导立体图像的少镜头分割,深度神经网络可以实现高度准确的图像分割，但需要大量手动注释数据来进行监督训练。 Few-shot learning 旨在通过从几个带注释的支持示例中学习一个新类来解决这个缺点。我们介绍了一种新颖的少镜头框架，用于分割只有少数注释切片的体积医学图像。与计算机视觉中的其他相关工作相比，主要挑战是缺乏预训练网络和医学扫描的体积性质。我们通过提出一种包含“挤压和激发”块的小样本分割新架构来应对这些挑战。我们的双臂架构由一个调节器臂组成，它处理带注释的支持输入并生成特定于任务的表示。该表示被传递到使用该信息来分割新查询图像的分割器臂。为了促进调节器和分段器臂之间的有效交互，我们建议使用“通道压缩和空间激励”块 - 一个轻量级计算模块 - 可以实现两个臂之间的大量交互，而模型复杂性的增加可以忽略不计。这种贡献使我们能够在不依赖预训练模型的情况下执行图像分割，而预训练模型通常不适用于医学扫描。此外，我们提出了一种有效的体积分割策略，通过将支持体积的几个切片与查询体积的所有切片进行最佳配对。我们对来自内脏数据集的全身对比增强 CT 扫描进行器官分割实验。我们提出的模型在分割精度方面明显优于多个基线和现有方法。源代码可在 https://github.comiabhi4ssj/few-shot-segmentation 获得。 (C) 2019 Elsevier BV 保留所有权利。
BSUV-Net：一种用于对看不见的视频进行背景减法的全卷积神经网络,背景减法是计算机视觉和视频处理中的一项基本任务，通常用作对象跟踪、人识别等的预处理步骤。最近，已经提出了许多成功的背景减法算法，但几乎所有顶级算法表演者受到监督。至关重要的是，他们的成功依赖于训练期间测试视频的一些注释帧的可用性。因此，他们在完全看不见的视频上的表现在文献中没有记载。在这项工作中，我们提出了一种新的、有监督的、基于全卷积神经网络的看不见的视频背景减法算法（BSUV-Net）。我们网络的输入包括当前帧和在不同时间尺度上捕获的两个背景帧以及它们的语义分割图。为了减少过度拟合的机会，我们还引入了一种新的数据增强技术，可以减轻背景帧和当前帧之间的光照差异的影响。在 CDNet-2014 数据集上，BSUV-Net 在包括 F 度量、召回率和精度在内的几个指标方面优于对看不见的视频进行评估的最先进算法。
使用无人机图像和深度学习对亚马逊棕榈树进行个体树检测和物种分类,有关热带森林中棕榈树空间分布的信息对于商业开发和管理至关重要。然而，手掌发生的空间连续知识是稀缺的，并且难以通过传统方法（例如现场清查）获得。在这里，我们开发了一种使用低成本无人机 (UAV) 获取的 RGB 图像在单个树冠 (ITC) 级别绘制亚马逊棕榈树物种的新方法。我们的方法基于从完全卷积神经网络模型派生的棕榈物种评分图中执行的形态学操作。我们首先通过将研究区域（亚马逊古老森林中的 135 公顷）划分为 28 个 250 mx 150 m 的地块来构建一个标记数据集。然后，我们用 4 cm 像素手动勾勒出所有在 RGB 图像中看到的棕榈树。我们确定了三种棕榈树种：Attalea butyracea、Euterpe precatoria 和 Iriartea deltoidea。我们随机选择了 22 个地块 (80%) 用于训练和 6 个地块 (20%) 用于测试。我们更改了用于训练和测试的图，以评估分类准确性的可变性并评估模型的泛化性。我们的方法比传统的补丁语义分割（CSS）的平均生产者准确率高出 4.7%。此外，平均而言，我们的方法正确识别的 ITC 比 CSS 多 34.7 个百分点，CSS 倾向于合并彼此接近的树。生产者对 A. butyracea、E. precatoria 和 I. deltoidea 的准确度分别为 78.6 +/- 5.5%、98.6 +/- 1.4% 和 96.6 +/- 3.4%。幸运的是，亚马逊地区开发和商业化程度最高的棕榈树种之一（E. precatoria，aka，Acai）以最高的分类准确度被绘制出来。源自低成本无人机系统的 E. precatoria 地图可以支持亚马逊地区的管理项目和基于社区的森林监测计划。
使用跨步空间金字塔池和双注意力解码器的语义分割,语义分割是一项端到端的任务，需要语义和空间准确性。有效利用语义信息丰富的高层特征图和空间信息准确的低层特征图对于基于深度学习的分割方法非常重要。然而，现有的分割网络通常不能充分利用这两种特征图，导致性能较差。本文试图通过引入两种新颖的结构来克服这一挑战。一方面，我们提出了一种称为跨步空间金字塔池（SSPP）的结构，以从高级特征图中捕获多尺度语义信息。与现有的基于atrous卷积的金字塔池化方法相比，SSPP结构能够以更快的推理速度从高层特征图中收集更多信息，显着提高了高层特征图的利用效率。另一方面，我们提出了一种由通道注意分支和空间注意分支组成的双注意解码器，以同时充分利用高级和低级特征图。双重注意力解码器可以产生更语义的低级特征图和具有更准确空间信息的高级特征图，这弥合了这两种特征图之间的差距，有利于它们的融合。我们在几个公开可用的语义图像分割基准上评估所提出的模型，包括 PASCAL VOC 2012、Cityscapes 和 COCO-Stuff。定性和定量结果表明，我们的方法可以达到最先进的性能。 (C) 2020 Elsevier Ltd. 保留所有权利。
半监督图像分割的深度协同训练,在本文中，我们的目标是提高半监督设置中语义图像分割的性能，其中使用减少的注释图像集和附加的非注释图像进行训练。我们提出了一种基于深度分割模型集合的方法。模型在注释数据的子集上进行训练，并使用非注释图像相互交换信息，类似于协同训练。模型的多样性是通过使用对抗样本来实现的。我们展示了我们的方法在三个具有挑战性的图像分割问题上的潜力，并说明了它在同时训练的模型之间共享信息的能力，同时保持它们的多样性。结果表明，与最近提出的半监督分割方法相比，在性能方面具有明显优势。 (C) 2020 Elsevier Ltd. 保留所有权利。
一种用于自动海上溢油检测的新型深度学习实例分割模型,浮油和其他元素的视觉相似性（称为相似）会影响合成孔径雷达 (SAR) 图像用于海上溢油检测的可靠性。到目前为止，漏油和相似物的检测和判别仍然局限于使用传统的机器学习算法和语义分割深度学习模型，准确性有限。因此，本研究使用计算机视觉实例分割基于 Mask-Region 的卷积神经网络 (Mask R-CNN) 模型开发了一种新颖的深度学习溢油检测模型。模型训练是使用 COCO 上的 ResNet 101 上的迁移学习作为主干，结合特征金字塔网络 (FPN) 架构，以 30 个 epoch 和 0.001 的学习率进行特征提取。使用保留的测试图像上的最小训练和验证损失值对模型进行测试。使用精度、召回率、特异性、IoU、F1-measure 和整体准确度值评估模型的性能。船舶检测和分割的性能最高，总体准确率为 98.3%。该模型同样显示出更高的溢油和相似检测和分割准确度，尽管溢油检测的总体准确度值分别为 96.6% 和 91.0%，优于相似检测。研究得出结论，深度学习实例分割模型在检测和分割方面的表现优于传统机器学习模型和深度学习语义分割模型。
实例分割调查：最新技术,对象检测或定位是从粗略到精细的数字图像推理过程中的一个增量步骤。它不仅提供图像对象的类别，还提供已分类的图像对象的位置。位置以边界框或质心的形式给出。语义分割通过预测输入图像中每个像素的标签来提供精细的推理。每个像素都根据其所在的对象类别进行标记。为了进一步发展，实例分割为属于同一类的对象的不同实例提供不同的标签。因此，实例分割可以定义为同时解决对象检测和语义分割问题的技术。在这篇关于实例分割的调查论文中，讨论了它的背景、问题、技术、演变、流行数据集、相关工作以及最新技术和未来范围。该论文为那些想在实例分割领域进行研究的人提供了有价值的信息。
基于U-Net的医学图像分割：综述,医学图像分析是通过分析医学成像系统获得的图像来解决临床问题。目的是提取有效信息，提高临床诊断水平。近年来，基于深度学习（DL）方法的自动分割得到了广泛应用，其中神经网络可以自动学习图像特征，这与传统的手动学习方法形成鲜明对比。 U-net 是卷积神经网络 (CNN) 最重要的语义分割框架之一。它广泛用于医学图像分析领域的病灶分割、解剖分割和分类。该网络框架的优势在于，不仅可以准确分割期望的特征目标，有效地处理和客观评价医学图像，而且有助于提高医学图像诊断的准确性。因此，本文对基于 U-net 的医学图像分割进行文献综述，重点介绍 U-net 在六种医学成像系统中对不同病变区域的成功分割经验。结合深度学习的最新进展，本文介绍了将原始 U-net 架构与深度学习相结合的方法以及改进 U-net 网络的方法。 (C) 2020 年影像科学与技术学会。
使用语义分割在整个幻灯片图像中识别肾小球硬化,背景与目的：肾小球鉴定，即检测和表征，是许多肾病理学研究中的关键程序。在本文中，提出了基于卷积神经网络 (CNN) 的语义分割来检测肾小球，使用全幻灯片成像 (WSI) 和分类 CNN 将肾小球分为正常和硬化。方法：U-Net 和 SegNet CNN 之间的比较考虑到二类和三类问题，即a）非肾小球和肾小球结构和b）非肾小球正常肾小球和硬化结构，执行像素级分割。然后将两类语义分割结果用于 CNN 分类，其中肾小球区域分为正常和全局硬化肾小球。结果：这些方法在由 47 个 WSI 组成的数据集上进行了测试，这些 WSI 属于用高碘酸席夫 (PAS) 染色的人肾切片）。最好的方法是用于两类分割的 SegNet，然后是微调的 AlexNet 网络来表征肾小球。使用连续 CNN (SegNet-AlexNet) 进行分割和分类的这一过程获得了 98.16% 的准确率。结论：获得的结果表明，顺序 CNN 分割分类策略实现了更高的准确度，减少了错误分类的病例，因此是针对肾小球硬化提出的方法检测。 (C) 2019 Elsevier BV 保留所有权利。
使用深度神经网络进行乳腺癌语义分割的图像数据实践,医疗保健中的图像数据发挥着至关重要的作用。医疗数据记录正在迅速增加，这既有利也不利。大型图像数据集难以处理、提取信息和机器学习。本研究中使用的乳房 X 线照片数据是乳房区域的低范围 X 射线图像，其中包含异常。乳腺癌是最常被诊断出的癌症，在全球乳腺癌相关死亡人数中排名第 9。在巴基斯坦，每 9 名女性中就有 1 名预计在生命的某个阶段会患上乳腺癌。筛查乳腺X线摄影是早期发现其最有效的手段。如此高的过采样率导致数十亿美元的超额医疗保健成本和不必要的患者焦虑。这项研究主要集中在开发基于深度学习的计算机辅助系统，以检测、分类和分割乳房 X 线照片中的癌变区域。此外，还提出了去除可能导致高误报率的噪声、伪影和肌肉区域的预处理机制。为了提高系统效率并应对大量资源需求，将预处理后的图像转换为 512 x 512 块。采用了两个公开可用的乳腺癌数据集，即乳房 X 线摄影图像分析协会 (MIAS) 数字乳房 X 线摄影数据集和（用于筛查乳房 X 线摄影的数字数据库） (CBIS-DDSM) 的策划乳房成像子集。使用了两种最先进的基于深度学习的实例分割框架，即 DeepLab 和 Mask RCNN。预处理算法有助于增加每种迁移学习方法的接收器操作曲线下的面积。进行微调以获得更好的性能，在 150 个案例的测试集上，mask RCNN 和 deep lab 的曲线下面积分别等于 0.98 和 0.95。然而，分割任务的平均精度为 0.80 和 0.75。放射科医师的准确度范围为 0.80 到 0.88。拟议的研究有可能帮助放射科医生进行乳房肿块分类以及癌变区域的分割。
用于织物缺陷检测的多级 GAN,织物缺陷检测是一个有趣但具有挑战性的话题。已经提出了许多用于织物缺陷检测的方法，但由于织物纹理和缺陷的复杂多样性，这些方法仍然不是最优的。在本文中，我们提出了一种基于生成对抗网络 (GAN) 的织物缺陷检测框架。考虑到实际应用中存在的挑战，所提出的织物缺陷检测系统能够学习现有的织物缺陷样本，并在不同的应用期间自动适应不同的织物纹理。具体来说，我们为织物缺陷检测定制了一个深度语义分割网络，可以检测不同的缺陷类型。此外，我们尝试训练多阶段 GAN 以在新的无缺陷样本中合成合理的缺陷。首先，训练一个以纹理为条件的 GAN，以探索给定不同纹理背景的缺陷的条件分布。给定一种新颖的面料，我们的目标是生成合理的缺陷补丁。然后，基于 GAN 的融合网络将生成的缺陷融合到特定位置。最后，训练有素的多级 GAN 不断更新现有的织物缺陷数据集，并有助于微调语义分割网络，以更好地检测不同条件下的缺陷。对各种代表性织物样品进行了综合实验，以验证我们提出的方法的检测性能。
RandLA-Net：大规模点云的高效语义分割,我们研究了大规模 3D 点云的有效语义分割问题。通过依赖昂贵的采样技术或计算量大的预处理/后处理步骤，大多数现有方法只能在小规模点云上进行训练和操作。在本文中，我们介绍了 RandLA-Net，这是一种高效且轻量级的神经架构，可直接推断大规模点云的每点语义。我们方法的关键是使用随机点采样而不是更复杂的点选择方法。尽管计算和内存效率非常高，但随机抽样可能会偶然丢弃关键特征。为了克服这个问题，我们引入了一种新的局部特征聚合模块来逐步增加每个 3D 点的感受野，从而有效地保留几何细节。大量实验表明，我们的 RandLA-Net 可以一次处理 100 万个点，速度比现有方法快 200 倍。此外，我们的 RandLA-Net 在两个大型基准 Semantic3D 和 SemanticKITTI 上明显超越了最先进的语义分割方法。
SNE-RoadSeg：将表面法线信息纳入语义分割以实现准确的自由空间检测,自由空间检测是自动驾驶汽车视觉感知的重要组成部分。最近在数据融合卷积神经网络 (CNN) 方面所做的努力显着改善了语义驾驶场景分割。自由空间可以假设为地平面，其上的点具有相似的表面法线。因此，在本文中，我们首先介绍了一种名为表面法线估计器（SNE）的新模块，它可以从密集的深度/视差图像中以高精度和高效的方式推断表面法线信息。此外，我们提出了一种数据融合 CNN 架构，称为 RoadSeg，它可以从 RGB 图像和推断的表面法线信息中提取和融合特征，以实现准确的自由空间检测。出于研究目的，我们发布了一个大型合成自由空间检测数据集，名为 Ready-to-Drive (R2D) 道路数据集，在不同的光照和天气条件下收集。实验结果表明，我们提出的 SNE 模块可以使所有最先进的 CNN 用于自由空间检测，并且我们的 SNE-RoadSeg 在不同数据集之间实现了最佳的整体性能。
